   75 65849.326    0.469  254.167    9.882   64.000    0.798   40.729   21.638 
   76 65668.800    0.375  254.250    9.871   63.889    0.797   40.728   21.638 
   77 65245.312    0.594  254.389    9.823   64.028    0.819   40.730   21.638 
   78 64886.711    0.531  254.611    9.801   64.000    0.813   40.730   21.638 
   79 64242.387    0.812  254.806    9.726   64.139    0.863   54.062   24.746 
   80 63858.770    0.469  255.056    9.707   64.194    0.846   54.062   24.746 
   81 63585.506    0.562  255.250    9.692   64.472    0.856   28.116   18.179 
   82 63101.331    0.531  255.389    9.638   64.667    0.846   28.119   18.179 
   83 62867.672    0.438  255.361    9.600   64.667    0.834   28.124   18.178 
   84 62581.187    0.625  255.556    9.583   64.833    0.858   28.120   18.179 
   85 62284.739    0.438  255.667    9.555   64.833    0.877   28.101   18.179 
   86 61812.651    0.562  255.750    9.498   64.639    0.875   29.230   18.931 
   87 61631.307    0.562  255.917    9.496   64.778    0.873   29.233   18.931 
   88 61230.745    0.500  256.111    9.464   64.722    0.875   29.253   18.930 
   89 60733.321    0.562  256.278    9.412   64.806    0.919   29.234   18.931 
   90 60380.761    0.531  256.528    9.399   64.833    0.916   42.879   22.773 
   91 60031.678    0.500  256.722    9.375   64.917    0.897   42.879   22.773 
   92 59575.647    0.469  256.944    9.339   64.944    0.917   42.881   22.773 
   93 59144.404    0.406  257.056    9.287   64.889    0.929   42.881   22.773 
   94 58795.933    0.531  257.139    9.241   65.139    0.924   29.246   18.931 
   95 58526.348    0.406  257.194    9.208   65.194    0.930   29.240   18.931 
   96 58195.417    0.531  257.389    9.185   65.278    0.927   29.193   18.933 
   97 57807.281    0.469  257.444    9.128   65.528    0.901   29.193   18.933 
   98 57564.884    0.500  257.750    9.143   65.444    0.899   29.194   18.933 
   99 57334.080    0.438  257.889    9.127   65.444    0.899   29.204   18.932 
  100 57110.273    0.562  257.972    9.106   65.472    0.913   29.206   18.932 
  101 56747.200    0.375  258.111    9.068   65.444    0.915   29.209   18.932 
  102 56564.499    0.375  258.250    9.058   65.556    0.904   29.201   18.932 
  103 56425.695    0.562  258.500    9.075   65.583    0.901   29.209   18.932 
  104 56247.684    0.469  258.611    9.068   65.694    0.929   29.158   18.934 
  105 55953.651    0.500  258.833    9.055   65.833    0.936   29.161   18.934 
  106 55539.863    0.531  259.056    9.018   66.028    0.970   29.132   18.935 
  107 55250.210    0.406  259.222    8.998   66.028    1.009   29.127   18.935 
  108 54926.627    0.469  259.417    8.970   66.250    1.031   29.794   19.406 
  109 54427.410    0.594  259.611    8.913   66.556    1.043   41.542   22.197 
  110 54249.917    0.438  259.750    8.909   66.472    1.060   41.545   22.197 
  111 53921.070    0.406  260.028    8.901   66.389    1.039   41.539   22.197 
  112 53659.435    0.375  260.139    8.872   66.417    1.032   41.569   22.195 
  113 53411.047    0.438  260.333    8.855   66.694    1.064   41.582   22.195 
  114 53091.302    0.500  260.583    8.840   66.833    1.054   41.582   22.195 
  115 52854.263    0.531  260.556    8.793   66.944    1.027   41.581   22.195 
  116 52632.518    0.438  260.556    8.749   67.194    1.026   41.599   22.194 
  117 52462.387    0.406  260.694    8.742   67.250    0.993   41.600   22.194 
  118 52157.897    0.438  260.694    8.692   67.222    0.978   41.600   22.194 
  119 51828.464    0.500  260.917    8.670   67.417    0.978   41.630   22.211 
  120 51627.966    0.469  261.083    8.661   67.472    1.016   41.633   22.211 
  121 51268.377    0.469  261.250    8.623   67.528    1.010   41.633   22.211 
  122 51055.233    0.594  261.389    8.603   67.722    1.029   42.807   22.902 
  123 50858.463    0.500  261.611    8.607   67.694    1.001   42.810   22.902 
  124 50690.532    0.250  261.750    8.601   67.694    1.005   42.810   22.902 
  125 50499.787    0.375  261.889    8.588   67.694    1.001   42.810   22.902 
  126 50182.386    0.469  262.028    8.556   67.611    0.989   28.213   18.345 
  127 50042.822    0.406  262.194    8.558   67.639    0.983   28.215   18.345 
  128 49790.900    0.438  262.222    8.513   67.861    0.968   28.224   18.345 
  129 49542.997    0.531  262.389    8.500   67.722    0.955   28.237   18.344 
  130 49188.606    0.562  262.472    8.453   67.583    0.930   28.241   18.344 
  131 48846.705    0.562  262.694    8.433   67.500    0.926   28.241   18.344 
  132 48480.191    0.656  262.861    8.396   67.306    0.912   28.240   18.344 
  133 48188.755    0.438  263.056    8.376   67.389    0.923   28.240   18.344 
  134 47879.039    0.500  263.083    8.323   67.444    0.942   43.794   23.433 
  135 47649.543    0.406  263.222    8.308   67.306    0.952   43.800   23.432 
  136 47295.022    0.469  263.389    8.267   67.472    0.959   43.788   23.433 
  137 47069.014    0.406  263.444    8.233   67.583    0.973   60.853   28.165 
  138 46893.406    0.625  263.667    8.239   67.583    0.970   60.857   28.164 
  139 46612.605    0.438  263.833    8.214   67.639    0.968   60.846   28.165 
  140 46336.032    0.500  264.056    8.202   67.639    0.962   60.847   28.165 
  141 45975.502    0.500  264.250    8.164   67.778    0.963   60.847   28.165 
  142 45733.158    0.312  264.389    8.139   67.889    1.007   60.849   28.165 
  143 45489.599    0.375  264.500    8.112   67.972    1.000   60.850   28.165 
  144 45190.440    0.500  264.722    8.094   67.889    1.029   60.853   28.165 
  145 44875.808    0.312  264.722    8.033   67.944    1.035   49.099   26.264 
  146 44657.333    0.500  264.778    7.993   68.250    1.072   65.022   29.936 
  147 44498.033    0.344  264.861    7.977   68.278    1.070   65.026   29.936 
  148 44323.947    0.469  264.917    7.951   68.278    1.069   65.033   29.936 
  149 43934.727    0.625  265.167    7.910   68.556    1.069   65.061   29.949 
  150 43596.597    0.625  265.361    7.876   68.472    1.091   65.064   29.949 
  151 43309.319    0.469  265.500    7.844   68.500    1.078   65.073   29.948 
  152 43089.344    0.438  265.694    7.835   68.611    1.083   65.082   29.947 
  153 42907.489    0.375  265.778    7.809   68.778    1.097   65.082   29.947 
  154 42720.351    0.281  265.944    7.801   68.722    1.101   65.058   29.949 
  155 42363.825    0.562  266.139    7.764   68.778    1.119   65.066   29.948 
  156 42018.447    0.531  266.333    7.727   68.667    1.126   65.065   29.948 
  157 41772.976    0.531  266.417    7.692   68.722    1.129   65.075   29.948 
  158 41480.817    0.500  266.639    7.673   68.861    1.132   65.083   29.947 
  159 41258.755    0.469  266.889    7.673   68.611    1.135   65.616   29.921 
  160 41084.264    0.406  267.000    7.656   68.694    1.134   48.561   25.605 
  161 40685.572    0.562  267.083    7.585   68.806    1.110   48.561   25.605 
  162 40431.076    0.469  267.278    7.567   68.778    1.153   49.899   26.392 
  163 39922.526    0.531  267.472    7.495   68.889    1.165   50.434   26.372 
  164 39668.775    0.469  267.694    7.481   68.778    1.155   50.437   26.372 
  165 39547.726    0.281  267.778    7.470   68.750    1.146   50.432   26.372 
  166 39158.797    0.500  267.861    7.408   68.667    1.153   50.436   26.372 
  167 38996.434    0.438  268.000    7.399   68.667    1.161   50.436   26.372 
  168 38726.503    0.438  268.222    7.380   68.778    1.143   49.909   26.393 
  169 38555.426    0.438  268.444    7.388   68.750    1.159   49.899   26.393 
  170 38382.433    0.406  268.528    7.364   68.778    1.156   49.905   26.393 
  171 38214.681    0.375  268.583    7.338   68.806    1.149   49.926   26.392 
  172 38005.064    0.500  268.750    7.319   69.083    1.167   49.930   26.392 
  173 37876.495    0.375  268.806    7.302   69.139    1.151   49.925   26.392 
  174 37796.608    0.375  268.889    7.304   69.139    1.139   49.926   26.392 
  175 37499.160    0.500  269.000    7.260   69.306    1.142   50.347   26.606 
  176 37212.388    0.469  269.111    7.219   69.306    1.114   50.355   26.606 
  177 37012.607    0.344  269.194    7.194   69.222    1.098   50.352   26.606 
  178 36759.832    0.469  269.333    7.162   69.361    1.106   33.108   21.107 
  179 36603.424    0.562  269.556    7.164   69.583    1.112   33.111   21.106 
